drugs,1,5,8,12,15,17,19
5Z-PI,29.808,20.181,9.375,44.528,64.512,85.6745,77.2475
5Z-PI,186.2935,208.7385,196.02,180.5895,173.95,282.014,279.7725
5Z-PI,142.228,60.025,60.025,115.351,50.625,47.9085,67.228
5Z-PI,15.309,27.5625,52.6965,26.6805,57.132,62.426,69.828
5Z-PI,52.92,30.8025,52.92,75.118,83.824,108.192,118.5885
5Z-PI,33.5405,123.008,39.8125,104.104,90,121,110.4125
5Z-PI,17.248,41.6,39.8125,47.151,43.4515,106.624,102.7395
5Z-PI,60.025,118.354,81.12,104.976,135.759,200.4345,215.622
5Z,13.0355,50.625,65.1655,18.513,14.8955,26.011,25.3265
5Z,71.7925,32.368,137.924,200.9,252.7605,276.538,656.667
5Z,5.2,12.615,13.5,49.368,90.944,78.4195,163.607
5Z,35.525,116.058,119.4875,71.7925,102.752,108.1465,219.64
5Z,131.5875,204.732,149.504,209.088,227.85,343.746,348.8
5Z,143.748,184.5585,227.85,163.154,212.704,280.845,327.2275
5Z,107.911,142.228,278.8425,233.28,234.476,424.128,519.453
5Z,54.5455,106.624,139.5375,139.5375,151.2,242.55,316.8
PI,31.768,116.25,105,238.05,161.472,274.752,291.3992
PI,63.6265,108,139.264,83.824,108,135.8165,184.5585
PI,10.976,30.324,26.011,27.436,14.8955,26.011,21.4375
PI,106.1705,161.172,307.0625,255.9375,312.05,497.3175,637.5625
PI,52.488,342.216,234.4065,207.831,270.738,400.9875,545.7535
PI,45.864,138.51,188.5275,196.4655,222.264,232.562,391.534
PI,194.5085,194.5085,237.65,317.9,243.682,432.45,550
Control,51.9115,105.056,130.696,187.272,245.134,284.0625,358.8575
Control,49.6125,205.35,217.728,225,252.486,389.8035,593.028
Control,62.208,55.176,68.85,151.2,139.606,154.3275,228.888
Control,37.044,89.376,68.85,139.24,105.056,178.176,202.3425
Control,113.1435,116.6135,193.842,196.599,210.826,266.45,519.453
Control,140.6625,231.1835,292.5,271.062,263.7855,371.3395,491.744
Control,26.3375,35.301,81.634,56.3945,50.8475,68.796,109.33
